entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,ANCHEYEAR,ANCHEDATE,BUSST,Al_ratio,Ratio,Year,Frequency,CONAM_new,CONPROP_new,ttype,debt,taxtype,total_profit,assets_re,tax_state,CaseType
122697049,15.0,10,9,4700000.0,0.0,0.0,2014.0,2015/7/30,0.0,0.0,0.0,2014.0,0.0,-8103056.973455395,-100.43931756194723,4.0,0.0,10.0,41394900001.1778,1.961542972264624,5.0,2
959830672,15.0,5,11,1000.0,0.0,0.0,2014.0,2015/9/13,0.0,0.0,1.0063170125800625,2014.0,2.0,1.459403615524934,-99.37119105366192,2.0,0.0,10.0,-4506319.993446149,,5.0,1
620868429,10.0,8,9,10000.0,0.0,0.0,2015.0,2016/10/15,0.0,0.0,0.0,2015.0,0.0,0.3961293825891517,-15.211070891675224,2.0,0.0,10.0,8496281.135445533,106381997.78158242,5.0,2
1176966297,10.0,55,11,3000.0,0.0,0.0,2014.0,2015/8/17,0.0,0.0,0.0,2008.0,5.0,1.8821909565886017,-99.6740324932744,2.0,0.0,10.0,1627399.003713879,28761999.55474501,5.0,2
658987796,15.0,3,11,500.0,0.0,0.0,2016.0,2017/9/20,0.0,0.0,0.4916381106779598,2016.0,0.0,0.8101318718656927,-0.8437614773753387,2.0,0.0,10.0,-38765502.79795283,16596696.772975994,5.0,1
1189216366,13.0,6,11,200.0,0.0,0.0,2013.0,2014/12/29,0.0,0.0,0.0,2018.0,0.0,-1.3996898682835308,-94.97696465258987,2.0,0.0,10.0,-19095500.777405586,337159999.64290065,5.0,2
1002985609,10.0,3,11,1000.0,0.0,0.0,2014.0,2015/6/25,0.0,20.50163351602421,0.0,2006.0,3.0,,,,0.0,10.0,258.8693339069062,26722000.20916173,5.0,2
959453158,10.0,3,11,4800.0,0.0,0.0,2015.0,2016/1/27,0.0,0.0,0.0,2014.0,6.0,-0.7731873492880368,-66.34845014792009,2.0,0.0,10.0,27490.410155398906,77316800.75853299,5.0,1
1114628681,10.0,3,11,200.0,0.0,0.0,2015.0,2016/9/3,0.0,0.0,0.0,2018.0,0.0,,,,0.0,10.0,-1557469.7106956844,1284.0661698728902,5.0,1
191956142,10.0,5,7,450.0,0.0,0.0,2013.0,2015/4/23,0.0,0.0,0.0,2008.0,3.0,,,,0.0,10.0,3450370.4637926174,14842899.512494136,5.0,1
805505073,10.0,8,11,31000.0,0.0,0.0,2013.0,2014/9/30,0.0,0.0,0.4824726001914618,2005.0,1.0,0.8420327692529099,-14.246790488134835,2.0,0.0,10.0,46586.78150769124,414076999.926272,5.0,2
127466506,10.0,28,9,0.0,0.0,0.0,2016.0,2018/6/15,11.0,0.0,0.0,2016.0,0.0,,,,0.0,10.0,0.0,,5.0,1
103517987,10.0,35,2,83.7,0.0,0.0,2016.0,2017/1/5,9.0,82.4240554070239,0.0,2016.0,0.0,,,,0.0,10.0,1.0237496850704328,-1.263794228469103,5.0,1
927879748,10.0,18,9,0.0,0.0,0.0,2014.0,2015/11/29,0.0,0.0,0.0,2018.0,0.0,,,,0.0,10.0,0.0,,5.0,3
923269747,15.0,3,11,1000.0,0.0,0.0,2014.0,2016/11/26,0.0,7.918971001493003,0.5897695953855474,2016.0,13.0,1.6607743058693814,-27.33939888160437,2.0,0.0,10.0,-5295.576548807377,10888200.334689775,5.0,3
142691942,10.0,3,11,110.0,0.0,0.0,2014.0,2015/12/18,0.0,0.0,0.0,2014.0,1.0,,,,0.0,10.0,-5704.970791890522,547149.3554858154,5.0,3
359609594,10.0,32,9,0.0,0.0,0.0,2014.0,2015/9/26,0.0,0.0,0.0,2015.0,2.0,,,,0.0,10.0,0.0,,5.0,3
408215553,10.0,28,9,0.0,0.0,0.0,2014.0,2015/6/26,0.0,0.0,0.0,2015.0,2.0,,,,0.0,10.0,0.0,,5.0,3
829944891,10.0,27,9,0.0,0.0,0.0,2014.0,2015/5/30,0.0,0.0,0.0,2015.0,1.0,,,,0.0,10.0,0.0,,5.0,3
337502360,10.0,55,10,0.0,0.0,0.0,2014.0,2015/9/27,0.0,3.6281146755807288,0.0,2018.0,0.0,0.6950645440520021,-98.60354638020729,2.0,0.0,10.0,0.544311519031308,-0.4917074656260804,5.0,3
755521214,10.0,3,11,6000.0,0.0,0.0,2014.0,2015/1/4,0.0,0.0,0.994878903856538,2009.0,24.0,-5939.564640254615,-100.30031644728749,4.0,0.0,10.0,-58056.34969059407,,5.0,3
731050139,10.0,13,9,0.0,0.0,0.0,2016.0,2017/8/6,11.0,96.93594495014408,0.0,2015.0,5.0,,,,0.0,10.0,16379299.145809872,2935619999.4398108,5.0,2
725698768,15.0,28,9,0.0,0.0,0.0,2015.0,2016/2/28,11.0,0.0,0.0,2015.0,2.0,,,,0.0,10.0,0.0,,5.0,3
936352630,15.0,28,9,0.0,0.0,0.0,2018.0,,0.0,0.0,0.0,2018.0,0.0,,,,0.0,10.0,0.2033238121327908,-0.0649143402159575,5.0,3
812917663,15.0,3,4,300.0,0.0,0.0,2016.0,2017/8/23,11.0,0.0,0.3834177911102183,2011.0,13.0,,,,0.0,10.0,2454990.7768418137,2999998.4018576783,5.0,1
606816694,10.0,7,11,300.0,0.0,0.0,2013.0,2015/6/4,0.0,74.98913723744553,0.9854088242171408,2015.0,3.0,-31.378620215890656,-10.917349936091519,4.0,0.0,10.0,998732.7648722377,31712800.92543824,5.0,3
1031153973,10.0,3,11,3.0,0.0,0.0,2017.0,2018/7/24,11.0,0.0,0.0,2016.0,1.0,14.680099213767484,15.929701803955705,1.0,0.0,10.0,-12000.686519117588,1000000.8985054144,5.0,3
221832261,10.0,3,9,3700.0,0.0,0.0,2014.0,2015/11/19,0.0,0.01312326156154445,0.0,2016.0,9.0,0.7597515002948967,-65.1285804657774,2.0,0.0,10.0,-0.4737832795414389,36999999.82998029,5.0,3
284392751,10.0,58,0,0.0,0.0,0.0,2014.0,2015/10/29,18.0,0.0,0.0,2014.0,0.0,,,,0.0,10.0,0.0,,5.0,1
635899624,10.0,27,9,0.0,0.0,0.0,2016.0,2017/10/19,11.0,0.0,0.0,2016.0,0.0,,,,0.0,10.0,0.5313469602914086,0.5573268968524026,5.0,3
1231967447,10.0,27,9,0.0,0.0,0.0,2016.0,2017/12/11,11.0,0.0,0.0,2015.0,3.0,,,,0.0,10.0,-1.5214399008038222,-0.8575301540817647,5.0,3
100195671,10.0,3,9,1000.0,0.0,0.0,2016.0,2017/9/22,11.0,0.0,0.0,2016.0,0.0,,,,0.0,10.0,-38072.19671319256,10021898.243669627,5.0,3
342760793,10.0,32,8,5.0,0.0,0.0,2016.0,2017/9/10,11.0,0.0,0.0,2011.0,3.0,,,,0.0,10.0,0.0,,5.0,3
1032764109,10.0,5,11,2000.0,0.0,0.0,2017.0,2018/8/27,11.0,0.0,0.0,2017.0,0.0,,,,0.0,10.0,-239999.8665813473,,5.0,3
283120087,15.0,4,9,20000.0,0.0,0.0,2016.0,2017/11/6,11.0,0.0,0.0,2011.0,1.0,1.5559914953191765,-97.3121168180118,2.0,0.0,10.0,-6259339.360618013,13655200000.439457,5.0,3
1133220134,10.0,4,11,0.0,0.0,0.0,2016.0,2017/12/25,11.0,0.035593619565713226,0.0,2016.0,2.0,,,,0.0,10.0,-0.8264344043112076,9999998.516834533,5.0,3
873360537,10.0,8,11,1280.0,0.0,0.0,2015.0,2016/8/27,0.0,107.03681718939823,0.0,2016.0,4.0,,,,0.0,10.0,-3999.935347589245,645000.1909960139,5.0,3
133252686,10.0,3,9,0.0,0.0,0.0,2017.0,2018/4/3,11.0,0.0,0.5089988742598088,2016.0,2.0,-1.5015271839905324,-52.24779097820046,2.0,0.0,10.0,-0.0782811780827495,2.0074214211190675,5.0,3
334660907,15.0,28,9,0.0,0.0,0.0,2017.0,,11.0,0.0,0.0,2017.0,0.0,,,,0.0,10.0,-0.8001839685803558,0.2681388718510037,5.0,3
482244002,10.0,3,5,500.0,0.0,0.0,2015.0,2016/12/8,11.0,0.0,0.0,2015.0,0.0,,,,0.0,10.0,0.0,,5.0,3
102673201,10.0,3,11,5000.0,0.0,0.0,2017.0,2018/5/16,11.0,-23.73353926560633,0.4957995606963401,2016.0,1.0,-551.9641620077716,-10.30287207016875,2.0,0.0,10.0,0.2049070624210097,2.4420212430368715,5.0,3
693676134,10.0,33,9,0.0,0.0,0.0,2014.0,2016/5/23,0.0,0.0,0.0,2016.0,2.0,,,,0.0,10.0,0.0,,5.0,3
516212728,10.0,3,11,1000.0,0.0,0.0,2017.0,2018/9/20,11.0,0.0,0.0,2017.0,0.0,0.02800539056238449,-68.83865903037989,2.0,0.0,10.0,0.0,,5.0,3
252045506,10.0,3,11,1000.0,0.0,0.0,2013.0,2015/11/9,0.0,46.8923727962449,0.0,2016.0,8.0,,,,0.0,10.0,-9466.60856659686,,5.0,3
1007251516,15.0,7,11,21998.4,0.0,0.0,2016.0,2017/6/30,11.0,0.0,1.0,2016.0,14.0,-8001.118719342586,-31.41236763527626,4.0,0.0,10.0,-1646410.015779393,,5.0,3
341104627,10.0,3,11,3000.0,0.0,0.0,2015.0,2016/3/18,0.0,0.0,0.0,2015.0,0.0,-0.40119780756731416,-59.88128537937572,2.0,0.0,10.0,-5001.1139514116685,33199999.916646946,5.0,3
220448783,10.0,3,11,0.0,0.0,0.0,2016.0,2017/5/17,11.0,753.2071574975618,0.0,2016.0,0.0,,,,0.0,10.0,-331999.8974423815,0.0337812580133528,5.0,3
211101804,10.0,3,8,110.0,0.0,1.0,2014.0,2015/7/13,0.0,1.874076881087252,0.0,2013.0,2.0,,,,0.0,10.0,-153028.86963547624,825410.8002617703,5.0,3
547440553,10.0,3,11,1000.0,0.0,0.0,2015.0,2016/9/28,11.0,2.261597360588892,0.9713067346946144,2015.0,0.0,12.068052420738473,0.5583272789585048,3.0,0.0,10.0,0.0,,5.0,3
740244329,8.0,3,11,110.0,0.0,0.0,2013.0,2015/2/10,0.0,0.0,0.0,2013.0,0.0,,,,0.0,10.0,0.0,,5.0,3
691454697,10.0,3,11,100.0,0.0,0.0,2015.0,2016/7/19,0.0,35.60167473251442,0.0,2016.0,1.0,-1.8019721344523416,-91.67090100883631,2.0,0.0,10.0,-1701.230472525179,1063960.219659825,5.0,3
1112373491,10.0,28,9,0.0,0.0,0.0,2015.0,2016/6/4,11.0,0.0,0.0,2015.0,0.0,,,,0.0,10.0,0.0,,5.0,3
971092189,10.0,27,9,0.0,0.0,0.0,2016.0,2017/8/5,11.0,0.0,0.0,2016.0,0.0,,,,0.0,10.0,0.0,,5.0,3
232565764,10.0,33,8,0.0,0.0,0.0,2013.0,2016/4/29,0.0,0.0,0.0,2013.0,0.0,,,,0.0,10.0,0.0,,5.0,3
25283915,10.0,39,9,0.0,0.0,0.0,2013.0,2016/1/22,0.0,0.0,0.0,2010.0,2.0,,,,0.0,10.0,0.0,,5.0,3
219381665,10.0,3,11,0.0,0.0,0.0,2016.0,2017/8/14,13.0,0.0,0.0,2016.0,0.0,,,,0.0,10.0,0.6783220633150171,99998.27659497152,5.0,3
575004686,10.0,3,11,100.0,0.0,0.0,2013.0,2014/2/3,11.0,0.4428006383455816,0.0,2013.0,0.0,,,,0.0,10.0,0.0,,5.0,3
36393553,10.0,3,11,100.0,0.0,0.0,2015.0,2016/12/6,0.0,100.00001327115429,0.0,2015.0,0.0,,,,0.0,10.0,-32998.96384507864,83000.25152199484,5.0,3
64662931,10.0,28,9,0.0,0.0,0.0,2017.0,2018/8/30,11.0,0.0,0.0,2017.0,0.0,,,,0.0,10.0,0.0,,5.0,3
423078773,10.0,39,2,6.0,0.0,0.0,2014.0,2016/4/20,0.0,0.0,0.0,2010.0,2.0,,,,0.0,10.0,0.0,,5.0,3
166396479,10.0,3,14,3000.0,0.0,0.0,2015.0,2016/4/14,0.0,0.0,0.0,2015.0,0.0,,,,0.0,10.0,0.0,,5.0,3
549310412,10.0,27,9,0.0,0.0,0.0,2013.0,2015/2/12,0.0,0.0,0.0,2007.0,1.0,,,,0.0,10.0,0.0,6499999.883034033,5.0,1
790901023,10.0,22,9,0.0,0.0,0.0,2014.0,2015/3/11,0.0,0.0,0.0,2012.0,2.0,,,,0.0,10.0,0.0,,5.0,3
439588592,10.0,3,11,3000.0,0.0,0.0,2015.0,2016/11/27,0.0,0.0,0.0,2015.0,0.0,,,,0.0,10.0,-14999.666575688536,,5.0,3
819159156,10.0,3,11,100.0,0.0,0.0,2013.0,2015/8/23,2.0,0.0,0.0,2015.0,1.0,,,,0.0,10.0,0.0,,5.0,3
774143406,10.0,3,11,200.0,0.0,0.0,2014.0,2015/5/3,0.0,0.0,0.0,2014.0,0.0,,,,0.0,10.0,0.0,,5.0,3
643995819,10.0,45,5,30.0,0.0,0.0,2013.0,2015/7/23,4.0,-9.56959399499588,0.0,2010.0,3.0,,,,0.0,10.0,0.0,,5.0,1
312112730,10.0,5,11,10.0,0.0,0.0,2015.0,,9.0,0.0,0.0,2015.0,0.0,,,,0.0,10.0,0.0,,5.0,3
221711104,10.0,3,11,6000.0,3.6,0.0,2017.0,2018/11/11,11.0,0.0,0.0,2011.0,4.0,2.681217057441245,-91.79274603339516,2.0,0.0,10.0,-611136.4273890668,13031500.337641388,5.0,2
858710610,10.0,3,11,0.0,0.0,0.0,2016.0,2017/3/21,11.0,0.0,1.0,2016.0,0.0,2.678058021986089,-11.855181065124269,2.0,0.0,10.0,0.0,20000.61626461513,5.0,3
989495682,10.0,3,11,0.0,0.0,0.0,2015.0,2016/3/17,0.0,0.0,0.0,2015.0,0.0,,,,0.0,10.0,0.0,,5.0,3
24295028,10.0,1,11,10000.0,0.0,0.0,2015.0,2016/12/6,0.0,0.0,0.0,2015.0,0.0,,,,0.0,10.0,-90166.56878100996,349133000.26980364,5.0,3
532580930,10.0,3,11,1000.0,0.0,0.0,2016.0,2018/11/4,13.0,0.0,0.0,2016.0,0.0,0.7913750244273885,-4.498916368808929,2.0,0.0,10.0,0.0,10000098.874819566,5.0,3
100724777,10.0,5,9,3000.0,0.0,0.0,2018.0,,0.0,-0.033530945829018666,1.0,2018.0,0.0,,,,0.0,10.0,-6530.745898106688,29612099.33680902,5.0,3
1113909111,10.0,3,11,3.0,0.0,0.0,2013.0,2015/5/1,0.0,0.0,0.0,2013.0,0.0,,,,0.0,10.0,-11999.836725228426,100000.682173844,5.0,3
185127097,10.0,45,7,0.0,0.0,0.0,2013.0,2015/12/15,0.0,0.0,0.0,2013.0,0.0,,,,0.0,10.0,0.0,,5.0,3
916447957,10.0,3,11,15000.0,0.0,0.0,2015.0,2018/10/27,11.0,0.0,0.0,2018.0,0.0,-0.94712300797255,-98.45398286059185,2.0,0.0,10.0,-28306800.27088691,1033950001.3341764,5.0,3
1027568465,10.0,44,11,550.0,0.0,0.0,2013.0,2014/6/24,0.0,0.0,0.0,2018.0,0.0,2.228713220740876,0.3764511459822332,2.0,0.0,10.0,0.0,,5.0,3
748718009,10.0,3,9,0.0,0.0,0.0,2015.0,2016/3/9,0.0,0.0,0.0,2015.0,0.0,-0.15641540582163316,-1.9947742970653235,2.0,0.0,10.0,-96000.42484372752,-1.6894601511014673,5.0,3
982196289,10.0,3,11,50.0,0.0,0.0,2015.0,2016/3/18,0.0,0.0,0.9780381633729642,2015.0,0.0,-1.1238089559485474,-81.24570747893263,2.0,0.0,10.0,0.0,2.498150562025008,5.0,3
210167448,10.0,44,11,0.0,0.0,0.0,2016.0,2017/3/19,11.0,0.0,0.0,2016.0,0.0,98.41703669658385,-4.169228388226813,3.0,0.0,10.0,0.0,,5.0,3
